Date,Close
10-05-2019,159.940002
13-05-2019,153.149994
14-05-2019,158.070007
15-05-2019,155.059998
16-05-2019,158.479996
17-05-2019,154.570007
20-05-2019,155.979996
21-05-2019,155.779999
22-05-2019,157.639999
23-05-2019,153.710007
24-05-2019,154.509995
28-05-2019,155.190002
29-05-2019,152.889999
30-05-2019,155.660004
31-05-2019,151.410004
03-06-2019,145.100006
04-06-2019,150.809998
05-06-2019,158.440002
06-06-2019,159.309998
07-06-2019,161.270004
10-06-2019,152.789993
11-06-2019,150.149994
12-06-2019,151.279999
13-06-2019,151.339996
14-06-2019,150.009995
17-06-2019,150.289993
18-06-2019,150.589996
19-06-2019,154.139999
20-06-2019,157.199997
21-06-2019,156.839996
24-06-2019,152.559998
25-06-2019,149.339996
26-06-2019,149.039993
27-06-2019,150.690002
28-06-2019,151.729996
01-07-2019,154.059998
02-07-2019,154.119995
03-07-2019,155.589996
05-07-2019,154.580002
08-07-2019,152.809998
09-07-2019,153.949997
10-07-2019,156.270004
11-07-2019,158.899994
12-07-2019,158.080002
15-07-2019,159.649994
16-07-2019,157.130005
17-07-2019,158.240005
18-07-2019,157.979996
19-07-2019,156.75
22-07-2019,157.699997
23-07-2019,156.25
24-07-2019,159.75
25-07-2019,159.350006
26-07-2019,159.970001
29-07-2019,156.210007
30-07-2019,156.960007
31-07-2019,154.5
01-08-2019,150.809998
02-08-2019,145.699997
05-08-2019,142.820007
06-08-2019,142.800003
07-08-2019,141.639999
08-08-2019,143.820007
09-08-2019,143.369995
12-08-2019,140.720001
13-08-2019,143.880005
14-08-2019,139.720001
15-08-2019,142.130005
16-08-2019,143.889999
19-08-2019,143.669998
20-08-2019,145.539993
21-08-2019,147.380005
22-08-2019,148.240005
23-08-2019,151.570007
26-08-2019,155.139999
27-08-2019,153.570007
28-08-2019,151.830002
29-08-2019,155.929993
30-08-2019,156.070007
03-09-2019,152.729996
04-09-2019,152.460007
05-09-2019,153.770004
06-09-2019,151.070007
09-09-2019,149.539993
10-09-2019,149.649994
11-09-2019,154.089996
12-09-2019,154.75
13-09-2019,152.979996
16-09-2019,153.009995
17-09-2019,152.820007
18-09-2019,152.770004
19-09-2019,153.600006
20-09-2019,155.199997
23-09-2019,154.649994
24-09-2019,152.050003
25-09-2019,152.990005
26-09-2019,152.339996
27-09-2019,148.259995
30-09-2019,148.440002
01-10-2019,147.690002
02-10-2019,144.220001
03-10-2019,147
04-10-2019,148.029999
07-10-2019,148.800003
08-10-2019,145.910004
09-10-2019,147.050003
10-10-2019,146.410004
11-10-2019,149.369995
14-10-2019,149.369995
15-10-2019,152.740005
16-10-2019,146.970001
17-10-2019,146.169998
18-10-2019,144.089996
21-10-2019,144.550003
22-10-2019,142.330002
23-10-2019,145.130005
24-10-2019,148.119995
25-10-2019,150.490005
28-10-2019,154.789993
29-10-2019,155.089996
30-10-2019,158.279999
31-10-2019,156.490005
01-11-2019,159.740005
04-11-2019,157.600006
05-11-2019,158.149994
06-11-2019,158.929993
07-11-2019,159.5
08-11-2019,161.110001
11-11-2019,161.779999
12-11-2019,162.860001
13-11-2019,162.600006
14-11-2019,163.050003
15-11-2019,163.210007
18-11-2019,162.770004
19-11-2019,163.960007
20-11-2019,164.199997
21-11-2019,162.880005
22-11-2019,162.809998
25-11-2019,161.710007
26-11-2019,162.539993
27-11-2019,161.509995
29-11-2019,162.889999
02-12-2019,161
03-12-2019,161.570007
04-12-2019,156.429993
05-12-2019,158.220001
06-12-2019,158.009995
09-12-2019,157.479996
10-12-2019,156.399994
11-12-2019,156.389999
12-12-2019,158.589996
13-12-2019,161.130005
16-12-2019,161.960007
17-12-2019,161.630005
18-12-2019,161.479996
19-12-2019,163.330002
20-12-2019,164.550003
23-12-2019,163.740005
24-12-2019,163.25
26-12-2019,164.509995
